Hospital,Branch / Location,Source Section,Ward / Room Type (Original),Normalised Category,Price (RM),Rate Basis,Notes,Official Source URL,Accessed Date
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Suites,Presidential Suite,Suite,3990.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Suites,Executive Suite,Suite,1680.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Neonatal Care,Nursery,Nursery / neonatal care,63.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Neonatal Care,NHDU,Nursery / neonatal care,331.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Critical Care Units,NICU,Critical / neonatal care,473.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Critical Care Units,HDU,Critical care,331.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Critical Care Units,Intermittent Care / Isolation,Isolation / monitored care,158.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Critical Care Units,ICU & CCU,Critical care,504.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Critical Care Units,ICU Suite,Critical care suite,714.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Private,Single,Private single,263.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Private,Single Executive,Private single,399.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Sharing,Two-bedded Room,Shared ward,168.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Sharing,Four-bedded Room,Shared ward,105.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Others,Labour & Delivery Suites,Maternity / delivery,413.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Others,Daycare,Daycare,100.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Suites,Executive,Suite,2000.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Suites,VIP,Suite,1500.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Single Rooms,Single Standard,Private single,250.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Single Rooms,Deluxe Single,Private single,420.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Delivery Suites,Delivery Single,Maternity / delivery,380.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Wards,Four-Bedded,Shared ward,100.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Wards,Two-Bedded,Shared ward,160.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Wards,Baby Cot,Nursery / neonatal care,80.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Others,Daycare unit,Daycare,110.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Others,Special care nursery,Nursery / neonatal care,100.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Others,Isolation,Isolation,250.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Others,ICU – Intensive care Unit - Neonatal,Critical / neonatal care,450.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Others,ICU – Intensive Care Unit - Adult,Critical care,450.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Others,CCU – Critical Care Unit,Critical care,450.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
KPJ Damansara Specialist Hospital 2,"Damansara, Selangor",Others,HDU – High Dependency Unit,Critical care,450.0,Daily rate,KPJ is a hospital group. This record uses the official Damansara Specialist Hospital 2 branch rates.,https://www.kpjhealth.com.my/damansara2/room-board,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Suites,"Golden Wing (RM3,688 entry)",Suite / wing,3688.0,Per night,Official page describes this as combining three VVIP Suite rooms.,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Suites,"Golden Wing (RM1,688 entry)",Suite / wing,1688.0,Per night,"The official page displays a second 'Golden Wing' entry at RM1,688. Label preserved exactly rather than silently corrected.",https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Suites,VVIP Suite,Suite,1288.0,Per night,,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Suites,Platinum Suite,Maternity suite,800.0,Per night,Official page states this is designed for post-natal patients.,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Suites,VIP Suite,Suite,650.0,Per night,,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Private,Single Executive Room,Private single,388.0,Per night,,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Private,Super Single Room,Private single,300.0,Per night,,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Private,Single Room,Private single,230.0,Per night,,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Sharing,Two Bedded Room,Shared ward,150.0,Per night,,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Sharing,Four Bedded Room,Shared ward,95.0,Per night,,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Others,Intensive Care Unit (ICU),Critical care,450.0,Per night,,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Others,Critical Care Unit (CCU),Critical care,450.0,Per night,,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
Subang Jaya Medical Centre (SJMC),"Subang Jaya, Selangor",Others,High Dependency Unit (HDU),Critical care,320.0,Per night,,https://subangjayamedicalcentre.com/patient-care/room-rates,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Grand Premier Suite,Suite,1888.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Premier Suite,Suite,1388.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Deluxe Suite,Suite,780.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Premier Single Suite,Private single suite,450.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Premier Single,Private single,425.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Deluxe Single,Private single,398.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Standard Single,Private single,285.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Two Bedded Deluxe,Shared ward,210.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Two Bedded,Shared ward,180.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Four Bedded,Shared ward,100.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,ICU/CCU,Critical care,530.0,Room rate,Combined rate label on the official page.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,NICU,Critical / neonatal care,480.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,HDU Deluxe Suite,Critical care suite,630.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,HDU Premier Single,Critical care single,470.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,High Dependency Unit (HDU),Critical care,430.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Cardiac HDU (CHDU),Critical care,380.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Surgical / Medical Daycare,Daycare,135.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Delivery Suite,Maternity / delivery,350.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Peads Observation Bed,Paediatric observation,380.0,Room rate,Spelling preserved from the official page.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Neonatal HDU (NHDU),Critical / neonatal care,380.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,General Nursery,Nursery / neonatal care,125.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
"Sunway Medical Centre, Sunway City","Sunway City, Selangor",Room Rates,Deluxe Therapeutic,Therapeutic room,388.0,Room rate,The page states that rates are subject to revision.,https://www.sunwaymedical.com/en/room-rates/admission-discharge-guideline-for-adult,2026-07-29
